Ingredient,Calories,Protein,Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Choline,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Cholesterol,Menu Type,Day,Meal
3 large eggs,214.5,18.84,14.27,4.689,5.487,2.8665,1.08,0.0,0.56,84.0,2.625,18.0,297.0,207.0,213.0,1.935,0.108,0.042,46.05,810,0.0,123,1.575,0.45,0.06,0.6855,0.1125,0.255,70.5,1.335,2.2995,440.7,0.054,0.0015,558.0,Omnivore,Day 1,Breakfast - Tomato Shakshuka
1 small onion,26.4,0.82,0.11,0.0186,0.0162,0.0438,6.09,0.84,2.84,13.2,0.144,6.6,21.0,99.6,1.8,0.126,0.0402,0.0918,0.36,1.2,3.12,0,0.012,0.3,0.0252,0.0138,0.099,0.0774,9,0,0.0678,4.08,N/A,N/A,0.0,Omnivore,Day 1,Breakfast - Tomato Shakshuka
2 large tomatoes,65.52,3.2,0.73,0.1019,0.1128,0.3021,14.16,4.37,9.57,36.4,0.9828,40.04,87.36,862.68,18.2,0.6188,0.2148,0.415,0,3032.12,49.868,0,1.9656,28.756,0.1347,0.0692,2.1622,0.2912,54.6,0,0.324,24.388,N/A,N/A,0.0,Omnivore,Day 1,Breakfast - Tomato Shakshuka
1 sweet pepper,31.92,1.05,0.23,0.0331,0.0148,0.1208,7.64,1.37,3.64,10.26,0.5244,11.4,20.52,189.24,2.28,0.1368,0.0741,0.1311,0.342,533.52,84.816,0,0.57,11.172,0.0673,0.0342,0.5438,0.2656,18.24,0,0.0901,8.436,N/A,N/A,0.0,Omnivore,Day 1,Breakfast - Tomato Shakshuka
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 1,Breakfast - Tomato Shakshuka
30 g goat cheese,79.2,5.56,6.32,4.3725,1.4421,0.1503,0.0,0.0,0.0,42.0,0.57,4.8,76.8,7.8,137.7,0.276,0.2196,0.03,0.84,309.9,0.0,4.5,0.054,0.54,0.021,0.114,0.129,0.075,3.6,0.057,0.204,4.62,N/A,N/A,13.8,Omnivore,Day 1,Breakfast - Tomato Shakshuka
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27.0,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0.0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 1,Snack
15 g raw cashew,82.95,2.73,6.58,1.1675,3.5696,1.1768,4.53,0.5,0.89,5.55,1.002,43.8,88.95,99.0,1.8,0.867,0.3293,0.2483,2.985,0,0.075,0,0.135,5.115,0.0635,0.0087,0.1593,0.0626,3.75,0,0.1296,N/A,N/A,N/A,0.0,Omnivore,Day 1,Snack
300 g fresh blueberries,171.0,2.22,0.99,0.084,0.141,0.438,43.47,7.2,29.88,18.0,0.84,18.0,36.0,231.0,3.0,0.48,0.171,1.008,0.3,162,29.1,0,1.71,57.9,0.111,0.123,1.254,0.156,18,0,0.372,18,N/A,N/A,0.0,Omnivore,Day 1,Snack
80 g egg tagliatelle,114.4,10.05,7.61,2.5008,2.9264,1.5288,0.58,0.0,0.3,44.8,1.4,9.6,158.4,110.4,113.6,1.032,0.0576,0.0224,24.56,432,0.0,65.6,0.84,0.24,0.032,0.3656,0.06,0.136,37.6,0.712,1.2264,235.04,0.0288,0.0008,297.6,Omnivore,Day 1,Lunch - Pasta with Meat
2 tomatoes,44.28,2.16,0.49,0.0689,0.0763,0.2042,9.57,2.95,6.47,24.6,0.6642,27.06,59.04,583.02,12.3,0.4182,0.1451,0.2804,0,2049.18,33.702,0,1.3284,19.434,0.091,0.0467,1.4612,0.1968,36.9,0,0.2189,16.482,N/A,N/A,0.0,Omnivore,Day 1,Lunch - Pasta with Meat
120 g raw lamb,320.4,20.26,25.91,11.364,10.632,2.04,0.0,0.0,,14.4,1.884,26.4,192.0,276.0,69.6,3.996,0.1248,0.0228,23.76,0,0.0,N/A,0.252,N/A,0.144,0.264,7.32,0.156,21.6,2.868,0.804,N/A,N/A,N/A,86.4,Omnivore,Day 1,Lunch - Pasta with Meat
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0.0,0.0,0.0913,0.18,0.0,0.0,0,0,0,0.0,0,1.3101,5.496,0.0,0.0,0.0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 1,Lunch - Pasta with Meat
50 g fresh basil,11.5,1.58,0.32,0.0205,0.044,0.1945,1.33,0.8,0.15,88.5,1.585,32.0,28.0,147.5,2.0,0.405,0.1925,0.574,0.15,2637.5,9.0,0,0.4,207.4,0.017,0.038,0.451,0.0775,34,0,0.1045,5.7,N/A,N/A,0.0,Omnivore,Day 1,Lunch - Pasta with Meat
